AnnualRainfall,MonsoonRainfall,CloudVisibility,Humidity,Temperature,RiverWaterLevel,SoilSaturation,WindSpeed,Elevation,DrainageQuality,FloodOccurred
2048.4,1545.9,5.52,83.2,26.9,2.46,70.6,9.7,265.2,3,1
1730.9,1377.6,2.26,75.3,31.2,7.39,46.5,13.7,117.8,4,1
2123.8,1306.0,9.41,78.5,25.7,3.77,47.4,12.5,162.7,2,0
2561.5,2029.8,5.24,75.7,36.6,4.32,71.2,27.5,75.2,5,1
1682.9,1107.0,4.78,94.4,21.6,7.9,28.1,6.9,0.0,3,1
1682.9,1071.8,9.97,73.5,34.3,2.76,12.1,24.4,273.5,2,0
2589.6,1456.9,2.89,64.2,24.2,3.55,46.3,16.0,283.6,4,0
2183.7,1229.9,3.19,56.3,19.0,3.46,73.6,24.7,114.9,1,1
1565.3,1131.7,3.26,73.7,29.2,8.24,60.1,27.7,216.2,5,0
2071.3,1376.3,5.83,33.4,26.7,8.99,72.1,15.7,110.9,2,1
1568.3,951.4,7.08,67.2,22.5,6.5,14.7,12.5,178.8,2,0
1567.1,1102.5,7.85,66.9,19.6,6.57,61.3,15.5,225.9,1,0
1921.0,1178.0,12.43,49.5,28.0,3.84,68.1,14.2,205.5,3,0
843.4,585.6,0.38,56.1,32.9,8.89,28.0,1.7,284.1,1,0
937.5,599.8,7.52,82.1,30.9,5.54,72.2,27.4,201.9,3,0
1518.9,1148.1,4.61,73.5,28.3,6.71,52.8,17.0,152.8,2,1
1293.6,976.9,4.53,71.5,30.4,4.79,100.0,5.7,73.9,1,0
1957.1,1310.0,4.45,74.6,27.9,4.46,11.5,0.0,102.1,2,0
1346.0,858.3,3.73,71.4,20.9,8.33,82.4,0.0,231.0,1,1
1093.8,700.8,10.21,88.6,20.9,6.08,47.1,21.2,0.0,2,0
2532.8,1903.2,8.11,71.9,27.0,7.9,22.7,10.0,260.6,2,1
1687.1,1066.3,6.06,48.1,27.2,5.51,44.5,11.4,121.9,2,0
1833.8,1104.4,9.38,94.5,32.3,3.3,60.5,18.9,68.1,4,0
1087.6,621.2,2.22,75.6,31.8,3.83,75.7,10.9,40.1,1,1
1527.8,1018.5,2.67,61.2,31.0,5.21,89.4,19.4,217.4,4,0
1855.5,1244.1,0.56,51.2,26.6,3.75,83.4,15.8,148.5,2,1
1224.5,930.9,4.25,75.9,21.1,2.79,35.7,14.3,308.9,5,0
1987.8,1203.3,6.4,68.2,30.1,7.4,77.6,2.4,23.7,3,1
1499.7,967.7,6.26,93.6,30.6,3.91,62.8,8.4,92.2,1,1
1654.2,1244.1,6.37,64.8,16.1,5.28,41.9,19.8,140.8,1,0
1499.1,1133.2,2.47,57.4,23.8,5.59,50.8,9.5,74.8,3,1
2726.1,1761.5,8.01,83.4,24.5,3.82,40.8,24.6,150.6,4,0
1793.3,1192.1,6.6,83.9,28.6,7.9,55.7,33.8,182.0,3,0
1271.1,795.5,7.83,72.5,24.0,2.77,40.4,20.3,198.4,5,0
2211.3,1731.7,1.27,80.1,27.8,5.52,34.4,26.9,300.6,2,1
1189.6,689.6,6.78,69.4,26.9,5.49,64.6,20.8,19.7,3,0
1904.4,1492.0,3.03,73.5,27.2,4.89,67.6,10.7,183.8,3,1
820.2,591.3,5.01,87.5,24.4,2.41,51.2,16.6,85.3,2,0
1135.9,775.7,7.34,79.4,24.8,6.74,82.4,31.1,193.0,1,1
1898.4,1059.6,6.23,67.5,22.6,6.49,49.8,10.8,193.1,5,0
2169.2,1451.0,3.87,90.3,29.9,3.65,48.9,6.7,51.3,3,1
1885.7,1229.3,6.02,34.5,30.9,6.41,68.2,5.9,59.9,3,0
1742.2,1028.4,2.17,100.0,24.1,5.75,52.4,13.3,201.2,1,1
1649.4,1177.9,8.88,44.4,35.6,2.44,56.7,7.0,152.3,5,0
1060.7,840.9,5.49,60.6,26.4,3.29,5.0,28.4,128.0,2,0
1440.1,994.4,8.8,69.4,35.7,7.28,55.3,16.7,215.8,2,0
1569.7,1143.8,4.68,67.8,24.8,5.62,18.5,22.8,223.2,4,0
2328.6,1320.6,4.69,85.1,17.9,3.87,30.6,12.6,97.0,5,0
1971.8,1290.4,4.09,54.1,30.0,3.28,28.3,5.9,64.8,5,0
918.5,531.9,8.19,73.9,29.2,3.97,34.1,4.5,23.8,3,0
1962.0,1379.7,4.23,61.3,28.2,4.11,44.0,7.7,153.3,4,0
1607.5,1261.2,7.61,74.4,24.8,3.31,45.3,17.8,7.7,2,1
1461.5,1045.6,5.04,69.0,27.8,1.52,68.3,19.2,159.9,5,0
2105.8,1198.6,1.06,71.4,25.4,7.28,59.4,19.8,271.7,5,1
2315.5,1478.8,4.57,61.8,26.5,6.94,17.0,3.1,114.7,1,1
2265.6,1558.0,3.05,62.3,32.2,2.45,56.7,15.0,96.4,2,1
1380.4,898.4,6.08,74.3,28.9,5.27,61.4,6.8,349.8,1,0
1645.4,1247.9,3.02,84.2,31.0,3.2,48.4,18.2,301.0,4,0
1965.6,1481.4,8.31,61.0,26.8,4.48,53.8,18.8,73.5,5,1
2287.8,1608.2,5.77,57.0,26.3,4.31,58.8,5.6,163.9,4,1
1560.4,1003.9,5.56,79.2,22.2,4.14,70.3,22.7,182.9,1,0
1707.2,1047.9,7.64,69.5,26.1,9.01,23.5,33.7,170.4,2,0
1246.8,718.8,8.41,82.5,11.4,4.12,50.1,21.7,331.5,5,0
1201.9,767.7,5.95,56.4,25.0,3.38,85.2,13.7,158.7,2,0
2206.3,1441.3,4.07,43.3,27.6,3.47,83.3,12.5,173.7,4,1
2478.1,1781.7,1.57,62.0,30.8,7.09,72.0,13.3,218.9,3,1
1764.0,1260.4,4.28,58.5,26.7,1.7,65.7,8.9,269.0,2,0
2301.8,1306.3,4.46,68.8,29.7,3.47,88.1,17.0,243.7,2,1
1980.8,1285.2,6.27,60.4,17.1,7.89,93.4,5.9,203.8,2,1
1477.4,879.7,5.14,81.1,27.7,5.49,52.4,0.0,0.0,5,0
1980.7,1167.0,7.72,65.7,19.6,5.38,35.6,16.8,101.2,4,0
2569.0,1944.3,4.47,72.3,22.0,9.26,49.6,15.2,231.9,4,1
1782.1,998.8,5.86,72.4,27.1,5.49,100.0,10.4,175.0,5,0
2582.3,1690.9,8.96,72.9,34.4,3.58,23.6,4.7,232.6,2,1
490.1,290.2,6.85,69.6,29.9,4.44,45.6,17.3,338.7,2,0
2211.0,1702.1,5.85,77.7,28.1,2.73,26.7,7.1,32.3,3,0
1843.5,1270.7,4.5,58.1,27.9,7.51,57.5,13.9,263.8,2,1
1650.5,1003.2,4.42,91.0,24.4,6.15,30.9,29.1,117.0,1,1
1845.9,1247.1,3.87,66.5,25.3,7.25,52.8,20.2,243.5,2,1
806.2,590.9,4.65,50.3,30.1,7.43,16.0,4.0,145.9,3,0
1690.2,1334.4,7.89,72.8,21.1,4.17,67.4,4.8,362.7,1,0
1978.6,1197.2,5.45,57.2,31.0,3.11,79.4,16.2,163.0,3,1
2538.9,1958.9,2.63,80.0,26.1,4.9,47.3,4.0,85.9,3,1
1540.9,1207.4,10.42,100.0,32.1,3.25,52.3,0.0,192.0,4,0
1395.8,1087.4,6.8,58.2,32.8,5.33,51.7,19.3,182.4,5,0
1549.1,1098.1,2.48,75.0,19.6,7.26,58.6,17.6,263.8,3,0
2257.7,1597.2,4.9,43.7,25.1,4.66,54.2,18.6,194.8,2,1
1964.4,1278.4,6.28,76.8,23.7,5.3,70.4,17.1,397.5,4,0
1535.1,1133.1,10.26,56.7,18.9,4.81,79.7,14.5,138.9,1,0
2056.6,1404.3,3.23,60.6,22.8,6.61,38.7,9.7,140.0,5,0
1848.5,1329.8,8.44,53.5,40.2,3.66,48.8,19.1,89.6,4,0
2284.3,1501.1,9.5,81.0,31.0,0.61,73.0,27.2,158.6,3,0
1449.0,1061.9,4.43,85.1,37.6,5.94,26.6,11.0,173.1,4,0
1636.2,1237.1,5.31,70.4,32.1,6.98,15.6,6.8,178.1,2,0
1603.9,940.9,3.41,57.0,24.3,5.89,59.5,5.9,156.7,2,0
1068.2,810.0,5.49,93.8,26.1,3.72,64.9,8.1,89.0,2,0
1948.1,1334.6,5.91,58.7,30.9,2.73,40.6,16.6,61.8,5,0
1930.5,1469.5,7.65,37.6,30.2,5.99,43.4,0.0,112.5,4,0
1802.6,1185.8,8.73,76.9,25.1,5.28,39.8,18.5,264.2,4,0
1682.7,1084.9,4.13,53.4,20.5,4.75,37.7,20.2,285.7,3,0
1092.3,850.7,1.08,84.8,44.4,8.64,68.9,0.6,142.3,1,1
1589.7,974.1,5.95,64.3,27.3,3.11,31.4,7.2,55.8,2,0
1628.6,1239.5,6.73,79.1,26.4,8.55,49.7,15.6,141.9,1,0
1398.9,938.6,6.62,91.0,28.6,5.06,36.9,13.9,359.2,1,0
1719.4,1166.6,5.18,51.9,26.8,1.33,25.9,19.2,249.9,2,0
2002.0,1255.5,6.31,61.5,28.6,4.64,72.4,13.9,205.1,2,1
2743.1,1901.7,9.79,68.9,34.4,6.92,44.6,25.1,246.3,3,1
1887.3,1191.5,6.95,,27.4,4.27,58.8,12.4,304.1,5,0
1928.8,1079.8,5.07,60.1,22.2,2.05,24.8,7.1,34.7,2,0
1762.8,1089.4,4.75,61.1,27.2,4.67,40.2,6.5,110.8,1,1
840.6,463.7,5.58,77.2,25.7,3.29,70.1,20.9,97.1,3,0
1786.7,1419.7,10.09,61.3,35.1,5.98,100.0,15.2,208.7,4,0
1830.1,1448.4,5.54,72.3,33.9,6.55,15.5,20.1,166.0,3,0
3031.6,1966.9,5.95,46.7,28.5,2.89,51.0,19.9,225.6,2,1
1703.8,1247.4,4.79,100.0,21.6,3.59,63.2,0.0,99.3,2,1
1950.8,1241.6,8.75,49.8,21.9,6.51,42.7,5.9,287.2,5,0
1782.6,1279.5,10.9,65.2,28.1,3.28,72.0,6.8,143.1,3,0
1215.7,913.4,7.13,69.5,29.7,2.84,37.7,8.5,219.5,2,0
